Model,Trial,Top1_Accuracy,Top5_Accuracy,Time_Per_Image,Precision,Recall,F1,ROC_AUC,CPU Power Usage (W),GPU Power Usage (W)
efficientnet_v2_s,1,0.5283726659388035,0.8361188096637832,0.003899518080786359,0.5286010692572473,0.5283726659388035,0.5255836234522673,0.9835709589952164,16.439285714285724,38.409582142857154
efficientnet_v2_s,2,0.7935668094398253,0.9453822681335908,0.003314286069110975,0.7959234148666205,0.7935668094398253,0.7925357580026643,0.9957617564737605,14.319999999999995,30.306667857142852
efficientnet_v2_s,3,0.7919711094314269,0.9446823997088547,0.003134696775486433,0.7936007329333723,0.7919711094314269,0.7906322561490002,0.9955955951053774,9.734285714285717,22.577457142857135
efficientnet_v2_s,4,0.7924470199602475,0.9441504997060552,0.002795986724605332,0.7947986677146729,0.7924470199602475,0.7914021622286903,0.9956342098058283,7.382142857142855,18.17871785714285
efficientnet_v2_s,5,0.7945746199714454,0.9455222418185382,0.002612329985058817,0.7964373970442373,0.7945746199714454,0.7934634382446726,0.9957653178293004,6.124285714285713,12.306228571428576
efficientnet_v2_s,6,0.7902354357380812,0.9450463312897175,0.002578688076323963,0.7923284993378507,0.7902354357380812,0.7891173153226103,0.9957834469957079,4.364642857142859,8.050103571428568
efficientnet_v2_s,7,0.7918591304834691,0.9445424260239075,0.002558577471512809,0.7937730637868431,0.7918591304834691,0.7905088154410289,0.9957472446890994,7.964285714285705,9.48078928571429
efficientnet_v2_s,8,0.7948545673413399,0.945018336552728,0.0025493751524383827,0.7962765635705612,0.7948545673413399,0.7936695338753316,0.9958458110631571,3.5510714285714253,11.007567857142858
efficientnet_v2_s,9,0.7967582094566221,0.9445704207608969,0.0025284286776254034,0.7988889031728836,0.7967582094566221,0.795720815198472,0.9960223136256268,1.2321428571428577,10.746003571428583
efficientnet_v2_s,10,0.7931468883849836,0.9453542733966014,0.0025067691362997756,0.7957801367464356,0.7931468883849836,0.7920082470141493,0.9957517970503623,5.700357142857142,9.786439285714282
efficientnet_v2_s,11,0.7943506620755298,0.946893983931021,0.002475382502730905,0.7965758904219544,0.7943506620755298,0.7932299989121627,0.9960768355245996,8.745357142857141,7.720353571428575
efficientnet_v2_s,12,0.7968421936675905,0.9457741944514432,0.00251054260539253,0.7992214657924176,0.7968421936675905,0.7956461335017353,0.9957974019575943,9.13321428571428,9.585239285714286
efficientnet_v2_s,13,0.7922790515383108,0.9445704207608969,0.0024982798370167393,0.794699198352929,0.7922790515383108,0.7913139991755097,0.9960682962849231,7.79607142857143,10.144653571428574
efficientnet_v2_s,14,0.7913832199546486,0.946138126032306,0.002512893772603136,0.7938652724834369,0.7913832199546486,0.7904700566542929,0.9958267921314374,4.449285714285711,9.444264285714288
efficientnet_v2_s,15,0.7947705831303715,0.9452982839226225,0.0025261229234774833,0.79766186689036,0.7947705831303715,0.7938047886092566,0.9959162638002306,3.050357142857142,10.174432142857148
efficientnet_v2_s,16,0.7949385515523082,0.9448783628677808,0.0025308655049251496,0.7970182797884234,0.7949385515523082,0.7936330527209655,0.9957909586307208,0.9085714285714278,8.127585714285715
efficientnet_v2_s,17,0.7962543041908121,0.944262478654013,0.0025367951734192626,0.7987510022118847,0.7962543041908121,0.7952310731988844,0.9958006272997149,0.27071428571428585,7.864771428571428
efficientnet_v2_s,18,0.7924470199602475,0.9446823997088547,0.0025353411811753217,0.794403588954627,0.7924470199602475,0.7913379155270698,0.9957071923585742,-0.31500000000000045,8.731503571428576
efficientnet_v2_s,19,0.7945746199714454,0.9448503681307914,0.002557419037946391,0.7968238686873218,0.7945746199714454,0.7936458314895184,0.9957244437229947,0.7721428571428569,10.284614285714284
efficientnet_v2_s,20,0.7905433778449652,0.9434786260183086,0.002603250489496964,0.7926407269443496,0.7905433778449652,0.789626071563099,0.9958864903907458,0.8035714285714296,9.39264642857143
efficientnet_v2_s,21,0.7958623778729599,0.946390078665211,0.002550195564378306,0.7980656600422041,0.7958623778729599,0.7946570263880822,0.9960056728704904,0.6610714285714281,8.724417857142859
