Model,Trial,Top1_Accuracy,Top5_Accuracy,Time_Per_Image,Precision,Recall,F1,ROC_AUC,CPU Power Usage (W),GPU Power Usage (W)
efficientnet_v2_s,1,0.6055105878505437,0.8873354590793885,0.0030764508506632058,0.6043371194443132,0.6055105878505437,0.6028781161697173,0.9764388100251902,8.235416666666664,15.315916666666668
efficientnet_v2_s,2,0.8428583108494808,0.9628812034993051,0.002714392306730389,0.8437198220526559,0.8428583108494808,0.8423301358436658,0.9942065673586473,5.597916666666664,13.42219791666667
efficientnet_v2_s,3,0.8455563731501922,0.9624724061810155,0.0026703100155345476,0.8459682265794417,0.8455563731501922,0.8448755098018713,0.9947977150030297,3.2302083333333336,9.801208333333335
efficientnet_v2_s,4,0.8449022974409288,0.9623906467173575,0.002714298077688497,0.8461912344060731,0.8449022974409288,0.8443967586836815,0.994492795022122,5.238541666666663,10.025135416666666
efficientnet_v2_s,5,0.8479273975962718,0.9634535197449104,0.0026895679054076242,0.8489288530140262,0.8479273975962718,0.8474826764697398,0.9946155556313878,2.918749999999998,10.965885416666664
efficientnet_v2_s,6,0.8449840569045867,0.9651704684817267,0.002629502680615308,0.8456355588456851,0.8449840569045867,0.8443175969629936,0.9945687226036406,4.507291666666666,11.277687499999999
efficientnet_v2_s,7,0.8451475758319026,0.9652522279453847,0.0026521085864358615,0.8474918874736824,0.8451475758319026,0.8446432235067814,0.994584870799101,10.415624999999999,7.055437500000001
efficientnet_v2_s,8,0.8461286893957976,0.9631264818902788,0.002700991705017364,0.8471601704516922,0.8461286893957976,0.8457283798311358,0.9947039568403634,7.680208333333333,9.869583333333333
efficientnet_v2_s,9,0.8408143242580328,0.9642711143814896,0.0027101463663754444,0.8416738859172729,0.8408143242580328,0.8404228961057092,0.9944640761476776,6.7260416666666645,11.361687499999997
efficientnet_v2_s,10,0.8418771972855859,0.9644346333088055,0.0026877007123036274,0.8428711152932613,0.8418771972855859,0.8412669034038174,0.9948771952210279,3.9583333333333317,9.375552083333336
efficientnet_v2_s,11,0.8422859946038754,0.9636170386722263,0.002664161599790579,0.8428995484180759,0.8422859946038754,0.8416954267463694,0.9941112498286171,0.9729166666666669,10.96517708333333
efficientnet_v2_s,12,0.8459651704684817,0.9629629629629629,0.0026696896516002896,0.846966763837635,0.8459651704684817,0.8453714545813291,0.9943801404544113,1.3479166666666662,9.673125000000002
efficientnet_v2_s,13,0.8444117406589813,0.9642711143814896,0.0026425522528317697,0.8455288300651848,0.8444117406589813,0.8440419357627635,0.994548959663926,2.6020833333333315,12.066010416666664
efficientnet_v2_s,14,0.8428583108494808,0.9641075954541738,0.0026231461188826514,0.8438887119664108,0.8428583108494808,0.8422653290619923,0.9946915439390003,-0.8760416666666672,14.680395833333337
efficientnet_v2_s,15,0.8399967296214537,0.9641075954541738,0.002605490999905615,0.8412360055416155,0.8399967296214537,0.8395721577168401,0.9940913919338014,2.2666666666666653,9.691906249999999
efficientnet_v2_s,16,0.8443299811953233,0.9617365710080942,0.002599758174391918,0.845762439081418,0.8443299811953233,0.8439663407997788,0.9939830257465454,5.086458333333332,11.217427083333332
efficientnet_v2_s,17,0.8449022974409288,0.9633717602812526,0.0026058531598909906,0.8453622832053067,0.8449022974409288,0.8442931676676891,0.9946561318216124,7.915625000000001,10.437395833333335
efficientnet_v2_s,18,0.8467827651050609,0.9624724061810155,0.002590769495717269,0.8477721929399201,0.8467827651050609,0.8461739902426327,0.994644485298908,6.295833333333332,10.006677083333331
efficientnet_v2_s,19,0.8482544354509034,0.9652522279453847,0.00260071512352815,0.8496678445341797,0.8482544354509034,0.8478393947663788,0.9950000751699415,9.583333333333334,10.123645833333331
efficientnet_v2_s,20,0.8471915624233505,0.9664786199002534,0.0025741830206240943,0.8471857302840989,0.8471915624233505,0.8461161887698109,0.994701030747672,10.706249999999999,8.287312499999997
efficientnet_v2_s,21,0.8455563731501922,0.9621453683263838,0.0025857571305652424,0.8466960759902938,0.8455563731501922,0.8448971308272694,0.9942847986623263,11.66979166666667,12.294322916666664
efficientnet_v2_s,22,0.8379527430300058,0.961981849399068,0.00258404477016289,0.8392153265565884,0.8379527430300058,0.837404170117727,0.9939053340451395,9.307291666666664,13.513354166666668
efficientnet_v2_s,23,0.8472733218870084,0.9606736979805413,0.0025912041890631906,0.8479040712945324,0.8472733218870084,0.8465658585253931,0.9939339620972356,11.487499999999999,9.3304375
efficientnet_v2_s,24,0.8462104488594555,0.9644346333088055,0.002612485956574547,0.8470667696667123,0.8462104488594555,0.8456871737825351,0.9941602226290563,12.865625,10.280010416666666
efficientnet_v2_s,25,0.8488267516965089,0.9663968604365956,0.002595981839301395,0.8503068082672877,0.8488267516965089,0.848179358787774,0.9950371958950915,13.035416666666668,8.640812499999997
efficientnet_v2_s,26,0.8491537895511405,0.9654157468727005,0.002599636343297209,0.8504397670905406,0.8491537895511405,0.8489187358289374,0.9951188488949934,12.768750000000004,8.751635416666664
efficientnet_v2_s,27,0.8411413621126645,0.9650069495544109,0.0026009587467316175,0.8424352084392078,0.8411413621126645,0.8406410051346886,0.9945010024101156,12.892708333333337,7.563291666666665
efficientnet_v2_s,28,0.844657019049955,0.9627176845719893,0.0025844544735146645,0.845221325454175,0.844657019049955,0.8439907037613438,0.9944238292178315,11.741666666666669,9.150885416666666
efficientnet_v2_s,29,0.8484179543782193,0.9641893549178318,0.0025932299770130354,0.8487335717675921,0.8484179543782193,0.8476318815103362,0.9947066718492019,13.360416666666664,10.30755208333334
